Bus Stop,Nearest Metro/Tram Stop,Distance (meters)
"Bus Stop (52.3950184, 4.8074379)","Metro/Tram Stop (52.2745937, 4.8307936)",1352.6306749472235
"Bus Stop (52.3900938, 4.8334174)","Metro/Tram Stop (52.2745937, 4.8307936)",271.2177712815438
"Bus Stop (52.3809655, 4.8597334)","Metro/Tram Stop (52.2745937, 4.8307936)",334.2497925034812
"Bus Stop (52.3781673, 4.8623664)","Metro/Tram Stop (52.2745937, 4.8307936)",318.32876984774896
"Bus Stop (52.3979318, 4.7938352)","Metro/Tram Stop (52.2745937, 4.8307936)",725.410772635424
"Bus Stop (52.3900827, 4.8215625)","Metro/Tram Stop (52.2745937, 4.8307936)",908.9669756829171
"Bus Stop (52.3260914, 4.8794364)","Metro/Tram Stop (52.2745937, 4.8307936)",601.9287372837439
"Bus Stop (52.3341583, 4.8794685)","Metro/Tram Stop (52.2745937, 4.8307936)",706.5654502236009
"Bus Stop (52.3266215, 4.8795783)","Metro/Tram Stop (52.2745937, 4.8307936)",661.5989910086429
"Bus Stop (52.3248524, 4.877049)","Metro/Tram Stop (52.2745937, 4.8307936)",449.8961759165125
"Bus Stop (52.3344747, 4.8790008)","Metro/Tram Stop (52.2745937, 4.8307936)",725.2958690341399
"Bus Stop (52.3373046, 4.8766771)","Metro/Tram Stop (52.2745937, 4.8307936)",399.1198860785056
"Bus Stop (52.3246683, 4.8751102)","Metro/Tram Stop (52.2745937, 4.8307936)",422.73650794564776
"Bus Stop (52.33092, 4.879574)","Metro/Tram Stop (52.2745937, 4.8307936)",734.1386397291701
"Bus Stop (52.3369632, 4.877254)","Metro/Tram Stop (52.2745937, 4.8307936)",453.21842999868426
"Bus Stop (52.3415745, 4.8009753)","Metro/Tram Stop (52.2745937, 4.8307936)",431.4632168107179
"Bus Stop (52.3432274, 4.7973981)","Metro/Tram Stop (52.2745937, 4.8307936)",488.2082771220936
"Bus Stop (52.3470382, 4.846544)","Metro/Tram Stop (52.2745937, 4.8307936)",512.5601225450513
"Bus Stop (52.3470395, 4.8384823)","Metro/Tram Stop (52.2745937, 4.8307936)",278.21348742708574
"Bus Stop (52.3413599, 4.8074752)","Metro/Tram Stop (52.2745937, 4.8307936)",470.41653782923737
"Bus Stop (52.3468246, 4.8426456)","Metro/Tram Stop (52.2745937, 4.8307936)",539.5569493316556
"Bus Stop (52.3506304, 4.8494018)","Metro/Tram Stop (52.2745937, 4.8307936)",83.79654026367287
"Bus Stop (52.3416651, 4.801122)","Metro/Tram Stop (52.2745937, 4.8307936)",417.8832314312889
"Bus Stop (52.3468905, 4.8337234)","Metro/Tram Stop (52.2745937, 4.8307936)",64.50265798406545
"Bus Stop (52.3431847, 4.7976387)","Metro/Tram Stop (52.2745937, 4.8307936)",475.24440511702113
"Bus Stop (52.3507256, 4.8495231)","Metro/Tram Stop (52.2745937, 4.8307936)",70.72474247241666
"Bus Stop (52.3469428, 4.8285137)","Metro/Tram Stop (52.2745937, 4.8307936)",257.05958115067915
"Bus Stop (52.3470378, 4.8331505)","Metro/Tram Stop (52.2745937, 4.8307936)",106.07622864474715
"Bus Stop (52.3470537, 4.8468358)","Metro/Tram Stop (52.2745937, 4.8307936)",514.4549043682772
"Bus Stop (52.3517583, 4.8564723)","Metro/Tram Stop (52.2745937, 4.8307936)",28.88640157384335
"Bus Stop (52.3469045, 4.8424245)","Metro/Tram Stop (52.2745937, 4.8307936)",527.6783745395758
"Bus Stop (52.3469382, 4.8388639)","Metro/Tram Stop (52.2745937, 4.8307936)",301.8976587887631
"Bus Stop (52.3414232, 4.8067601)","Metro/Tram Stop (52.2745937, 4.8307936)",441.16452910374755
"Bus Stop (52.3468545, 4.8289743)","Metro/Tram Stop (52.2745937, 4.8307936)",276.50137030771015
"Bus Stop (52.3382331, 4.8573523)","Metro/Tram Stop (52.2745937, 4.8307936)",18.74187300101511
"Bus Stop (52.3350716, 4.8761986)","Metro/Tram Stop (52.2745937, 4.8307936)",532.9453711352344
"Bus Stop (52.333443, 4.8097322)","Metro/Tram Stop (52.2745937, 4.8307936)",290.58917633757426
"Bus Stop (52.3320027, 4.869693)","Metro/Tram Stop (52.2745937, 4.8307936)",86.40667041281723
"Bus Stop (52.3320442, 4.8764015)","Metro/Tram Stop (52.2745937, 4.8307936)",520.1752202911985
"Bus Stop (52.3321236, 4.8697031)","Metro/Tram Stop (52.2745937, 4.8307936)",97.17270215236888
"Bus Stop (52.3160502, 4.9787095)","Metro/Tram Stop (52.2745937, 4.8307936)",81.05178576635019
"Bus Stop (52.3228454, 4.9807986)","Metro/Tram Stop (52.2745937, 4.8307936)",535.9039120309805
"Bus Stop (52.3167855, 4.9813771)","Metro/Tram Stop (52.2745937, 4.8307936)",132.45848675328958
"Bus Stop (52.3189861, 4.9840177)","Metro/Tram Stop (52.2745937, 4.8307936)",407.77697840759305
