Bus Stop,Nearest Metro/Tram Stop,Distance (meters)
"Bus Stop (12.8889248, 77.65458871)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.02579839, 77.50639418)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.02418975, 77.63725368)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.01607533, 77.61804808)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.00879103, 77.62897321)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.98255317, 77.60859236)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.95066869, 77.63245846)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.91860027, 77.59971089)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.95111541, 77.59748997)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.9596085, 77.58747902)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.94887811, 77.57291742)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.95850657, 77.57353042)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.97976885, 77.59055372)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.97534436, 77.5804203)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.95496871, 77.54743027)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.99810354, 77.54600189)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.0067167, 77.57550074)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.01214907, 77.5740631)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.98693015, 77.64707347)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.99134454, 77.6582368)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.97764933, 77.67560568)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.00229093, 77.67392318)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.92401817, 77.64263562)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.91107697, 77.6405003)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.89422299, 77.62691003)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.88372964, 77.63701029)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.97407258, 77.57659778)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.96557742, 77.55466072)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.97281616, 77.52724846)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.90812869, 77.52158037)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.91854797, 77.48177026)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.04643049, 77.54879605)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.9783294, 77.55115065)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.95673232, 77.61940359)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.92124828, 77.61771672)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.96556188, 77.5670199)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.0426237, 77.6102352)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.05547801, 77.63483736)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.02653023, 77.6615771)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.02620983, 77.60140333)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.91975658, 77.5923589)","Metro/Tram Stop (12.980531, 77.7088952)",808.0263831742657
"Bus Stop (12.92268932, 77.59338455)","Metro/Tram Stop (12.980531, 77.7088952)",822.1686199142788
"Bus Stop (12.92318598, 77.58877168)","Metro/Tram Stop (12.980531, 77.7088952)",823.1508031992119
"Bus Stop (12.9279596, 77.58760419)","Metro/Tram Stop (12.980531, 77.7088952)",503.75301429588717
"Bus Stop (12.92848264, 77.58420959)","Metro/Tram Stop (12.980531, 77.7088952)",146.7822610788125
"Bus Stop (12.93177833, 77.58390636)","Metro/Tram Stop (12.980531, 77.7088952)",433.59895062106654
"Bus Stop (12.93610683, 77.58392363)","Metro/Tram Stop (12.980531, 77.7088952)",480.68315328121236
"Bus Stop (12.93666431, 77.57664571)","Metro/Tram Stop (12.980531, 77.7088952)",408.0226117379792
"Bus Stop (12.93672057, 77.57217014)","Metro/Tram Stop (12.980531, 77.7088952)",604.0780491134941
"Bus Stop (12.93956243, 77.57215225)","Metro/Tram Stop (12.980531, 77.7088952)",863.7866163191653
"Bus Stop (12.94189, 77.57358)","Metro/Tram Stop (12.980531, 77.7088952)",776.4306051726612
"Bus Stop (12.94574241, 77.57070059)","Metro/Tram Stop (12.980531, 77.7088952)",422.1401508640844
"Bus Stop (12.94914748, 77.56756102)","Metro/Tram Stop (12.980531, 77.7088952)",516.9261287548442
"Bus Stop (12.95189473, 77.5674635)","Metro/Tram Stop (12.980531, 77.7088952)",655.9975113655946
"Bus Stop (12.95719452, 77.56829549)","Metro/Tram Stop (12.980531, 77.7088952)",430.84275282396
"Bus Stop (12.95850855, 77.57402561)","Metro/Tram Stop (12.980531, 77.7088952)",53.72992322637007
"Bus Stop (12.96161187, 77.57527904)","Metro/Tram Stop (12.980531, 77.7088952)",102.83412118739055
"Bus Stop (12.96366, 77.56843)","Metro/Tram Stop (12.980531, 77.7088952)",260.15030673944693
"Bus Stop (12.96811874, 77.56800682)","Metro/Tram Stop (12.980531, 77.7088952)",302.4553901908813
"Bus Stop (12.97736, 77.57074)","Metro/Tram Stop (12.980531, 77.7088952)",131.65579885957965
"Bus Stop (12.9817448, 77.57448131)","Metro/Tram Stop (12.980531, 77.7088952)",647.2933264255759
"Bus Stop (12.98997477, 77.57209867)","Metro/Tram Stop (12.980531, 77.7088952)",155.28129368126483
"Bus Stop (12.99789013, 77.57130999)","Metro/Tram Stop (12.980531, 77.7088952)",283.08258398080517
"Bus Stop (12.99966, 77.57128)","Metro/Tram Stop (12.980531, 77.7088952)",431.09497060278755
"Bus Stop (13.00503071, 77.57115472)","Metro/Tram Stop (12.980531, 77.7088952)",507.0211787284614
"Bus Stop (13.00908169, 77.5710476)","Metro/Tram Stop (12.980531, 77.7088952)",471.3432280882088
"Bus Stop (13.01565694, 77.56289701)","Metro/Tram Stop (12.980531, 77.7088952)",784.0985100282884
"Bus Stop (13.01742075, 77.55707759)","Metro/Tram Stop (12.980531, 77.7088952)",446.43206905827043
"Bus Stop (13.01856, 77.5532)","Metro/Tram Stop (12.980531, 77.7088952)",242.56200711811758
"Bus Stop (13.02311, 77.55029)","Metro/Tram Stop (12.980531, 77.7088952)",65.37962277089736
"Bus Stop (12.90649243, 77.57761254)","Metro/Tram Stop (12.980531, 77.7088952)",496.55003978170305
"Bus Stop (12.90713763, 77.58562779)","Metro/Tram Stop (12.980531, 77.7088952)",508.9405291086048
"Bus Stop (12.91115155, 77.58567796)","Metro/Tram Stop (12.980531, 77.7088952)",154.22593872864914
